% # columns="iter, evals, sigma, 0, fitness, xbest" seed=483499, Wed Jan 14 12:48:27 2026, <python>{}</python>
1 10 0.9383194379655945 0 2056469.2392072626 1.315019263743737 1.0246390337130746 2.6125919150833363 1.1735858145251972 2.600025561919759 2.6820650359267195 1.8764807879939855 2.1420742632526673 1.0399418289981386
2 20 0.8624860473625863 0 1479640.25569038 1.2225740379488697 2.453787272617539 1.0724816329031324 2.657054749957954 1.2510443929879767 2.404581678144633 1.8439983533880417 1.1486664386500822 1.0497966964705692
3 30 0.9374307930698184 0 1785908.5040679802 1.1787262029904366 1.4308561054129723 2.5497069311326466 4.43479713934402 2.3942578160998984 3.6464660397941904 1.3802525498704807 1.2068967934164865 1.1757629849087698
4 40 0.9660999343479487 0 1763363.6408028177 1.937885619939491 1.0142380048329176 2.1459849758539944 5.976258680696237 1.3971889496314214 2.034100968125833 1.520935387468453 1.9199263608868065 1.0014948784070967
5 50 1.0445719362428094 0 1363370.6122403617 1.0235085283629317 1.039916103404365 2.120249413303943 5.328314243517675 3.3613702975621553 3.696439545479825 1.507436702295128 1.0346446164948213 1.0039003597241252
6 60 1.1722946745886822 0 1421722.2853635638 1.0290939036514508 2.6476003371046075 1.0243819869888182 9.762556646115197 1.9296391232830123 2.8491909152862536 1.404568041004616 1.2500169904017677 1.0075103221310442
7 70 1.186911817242657 0 2108709.1682320507 1.061065394744134 2.3793935799479313 1.0492497727144658 6.41979257979882 2.6887871949170883 1.8088815617619227 2.683467474581949 1.4253036474251801 1.2193077730340804
8 80 1.2475994344991177 0 2074223.6862086998 1.519190796611584 3.912645772592966 3.385591331320417 5.528719051926723 2.8104034589785214 1.4485432910321903 3.3022387975630396 1.2185482216365993 1.199895971510336
9 90 1.3612580894768318 0 1668663.934849411 1.6827082197205796 2.459569032400009 4.426771750830037 7.7693599914128635 3.4656036915707022 1.076554033649379 2.5249488583953816 1.3862497677528245 1.0466177496662668
10 100 1.428332414854925 0 2192480.8455210063 1.6405175861340737 1.1365663934464825 5.002610799419418 8.460557643748679 4.9224825961495755 1.241252491247046 1.4946201658242593 1.8748143849050747 1.2043094061235669
11 110 1.500847234879454 0 2023457.0677616016 1.264503690448176 3.202351987902846 6.902424154983681 7.591564191367106 6.275608102757344 1.9931127996125757 1.3965955730703283 1.6216644791957304 1.1918849152893718
12 120 1.5321303894306968 0 2645791.722486927 1.9198483433796085 2.60781355681536 2.940822155165829 8.986222226506053 7.463257754623558 1.0000744424773247 2.76685870908889 1.6702873423271383 1.35336189811218
13 130 1.5016705905032088 0 1638480.0399391402 1.8424242527052257 3.1642999165192247 3.377414709709189 8.956053745730925 8.5314679934989 1.2720956579333407 1.2160991413845483 1.6535877305758109 1.0044395884053754
14 140 1.3590240959235274 0 1845632.3698423586 1.0645289601984687 3.4427803932394285 6.144555421332053 7.349884546934817 6.646941364781148 3.189134781356287 1.350708567680753 1.9378063299832813 1.0039599020424685
15 150 1.2440134896041737 0 2031118.5610959455 1.9860479436040706 1.9948625335690924 5.354357604858508 7.1760604970831405 5.450981466219513 1.8266309853403722 1.1342409910602336 2.014940849546095 1.0999500995958154
16 160 1.1124998348944353 0 1475752.2279911442 1.6718655339906376 1.3737586784239002 3.2348223590522767 5.963554623459578 4.476164659111896 3.191681519894048 1.6407036805898167 1.0246367368344733 1.058271768700808
17 170 1.051467999863917 0 1507797.1451638448 1.1872107425924578 1.5522047271720474 4.0345089851237175 9.778426833906993 6.842162515567386 1.9191005516455524 1.1706111828528196 1.0018877953543053 1.0958578424873067
18 180 1.0877978705295894 0 1519504.6596007776 1.5308809855535495 3.2627591010413894 5.2241393294990734 7.025847740603311 6.575218497009015 2.286955430050316 1.2650535463966044 1.473420350422646 1.0002449551552475
19 190 1.1667269933601934 0 1469111.6628468297 1.8035125203788531 4.264241760124188 4.357686265480311 7.994906472119325 6.379909047312244 1.7717728720763954 2.409958346702713 1.0140145571212902 1.015959589807759
20 200 1.2048137261778764 0 1560484.9528326038 1.5540593690920859 4.439338391724538 4.969102856495905 4.596154180002516 7.588715429816431 2.4793128404835674 1.457824104853021 1.1662130302882705 1.0745310226825064
21 210 1.2367214017127457 0 1620575.0177148152 1.5832992747096333 4.751911530515528 3.888367630861147 6.841308601795476 7.0037845342334775 1.0000368445651289 3.167787659532336 1.037954064327532 1.0237451834327231
22 220 1.1597033509668953 0 1491793.2515397097 1.4633212622164822 2.1100648673504185 1.274896223121322 7.21322703209583 5.663472744485268 1.918095242048735 1.0762787940488572 1.4237651956760498 1.0161647595974455
23 230 1.088876815523747 0 1565076.4003833446 1.405229497652973 3.356308885906738 4.347845297478181 8.665094567884083 6.60208098093181 2.400488990787845 1.847375204479666 1.3827676426488669 1.0134754176346772
24 240 1.0007640110085398 0 1374358.8978382684 1.999058992560158 2.9452237721435646 3.2750313026593894 8.195810679288451 5.913778968541935 3.3007111395143145 1.6311661628167862 1.000001193040045 1.0019065193336516
