% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=483499, Wed Jan 14 12:48:27 2026, <python>{}</python>
1 10 0.9383194379655945 0 0 0.9358745205249155 0.9214486973701395 0.9559353845821107 0.9301628199175522 0.9279624529542427 0.9180711459568632 0.9250221594063485 0.933397204548577 0.9439213252581709
2 20 0.8624860473625863 0 0 0.8790405879256034 0.8426617220001809 0.892312961758867 0.8519693856610381 0.8617999293979054 0.8370655199377943 0.8455262395455282 0.8457988057117672 0.8059130340114392
3 30 0.9374307930698184 0 0 0.9561380445902413 0.9123822617104652 0.9187967245100609 1.0435044063316194 0.9372383380744602 0.945367471004334 0.9082537659222589 0.9114736598159481 0.8534643568307374
4 40 0.9660999343479487 0 0 0.9784782642788133 0.9401005687468451 0.9489377129001756 1.1579540661627237 0.9650063090142577 0.9405089031505488 0.9330236198438916 0.9377722274869943 0.8284445203968803
5 50 1.0445719362428094 0 0 1.0417043728226791 1.0001588783520938 1.0277895648161657 1.37628621345552 1.0314337174060177 1.04701467329749 1.0145523432292163 1.0105570515355025 0.8662634472402473
6 60 1.1722946745886822 0 0 1.1353154813721262 1.1451067312308796 1.1481701957364956 1.7435417191230087 1.1596798193573576 1.1437806024014643 1.1265097361005718 1.1182875958178162 0.94175681092839
7 70 1.186911817242657 0 0 1.1199148096034373 1.1548196453119977 1.1593427809485317 1.7850935223994162 1.1732267081756107 1.1867751172475989 1.1422400093321354 1.1379279693894582 0.8823459243346576
8 80 1.2475994344991177 0 0 1.243925689316465 1.2187797135653728 1.2337665258064943 1.8885016140648077 1.2360442573697372 1.2803571112044856 1.177326154165738 1.176627169384652 0.8727717889013795
9 90 1.3612580894768318 0 0 1.3697313237018596 1.326914129722073 1.4169534006367568 2.039778667480377 1.3775374672178227 1.3505471942455647 1.283014786120814 1.280452762857112 0.905664970191259
10 100 1.428332414854925 0 0 1.4343914565464677 1.391488673872229 1.5391415067074206 2.1486171928028712 1.4523535546698298 1.41427837281747 1.3389339050001101 1.286468425375239 0.8819309491532853
11 110 1.500847234879454 0 0 1.5215746286472658 1.4383237391392751 1.6224751625914045 2.2472641030289062 1.6042432333826626 1.458053619836475 1.4239715388337526 1.320550372079595 0.9099111529063482
12 120 1.5321303894306968 0 0 1.5218751770649455 1.4354255266729725 1.6808409356484506 2.3141464843341435 1.7014302348089816 1.4711628597076096 1.5005224867691416 1.30938688613391 0.8919375666944762
13 130 1.5016705905032088 0 0 1.5241230441471574 1.3900013945016212 1.637693537618251 2.2677490960743807 1.7219580970779027 1.3921024611982247 1.460982308913896 1.2753418243807213 0.8084355926255308
14 140 1.3590240959235274 0 0 1.3812300672573163 1.2523942711895077 1.4355315696829243 2.0063706808768687 1.5645455984884233 1.2959401713812122 1.3322761131120466 1.1289253671040118 0.6881039076105135
15 150 1.2440134896041737 0 0 1.2372233892182918 1.1542004654285247 1.3175304110856763 1.8110423646077458 1.4340867987650918 1.205203191509151 1.1966310926952 1.0303977464610932 0.5825321415792768
16 160 1.1124998348944353 0 0 1.063668178672063 1.0279748806108409 1.194331834529273 1.5720505119013328 1.3027066533541694 1.0689630304742073 1.0671369482494788 0.8924714493577186 0.5074479897540926
17 170 1.051467999863917 0 0 0.9903251005969034 0.9919517077609554 1.1065701036753852 1.4940802955803048 1.2321575819021084 1.008882718158427 1.0192578625323525 0.8202723089084634 0.4640295390046781
18 180 1.0877978705295894 0 0 1.0084533210588194 1.1028902240484533 1.176675948932863 1.536622939860932 1.2628861825812436 1.0473564356533323 1.0620607948350294 0.84486548180456 0.4525211692371983
19 190 1.1667269933601934 0 0 1.0726140242891293 1.2629572982345385 1.2592235477845881 1.6080143201689165 1.4079595785708163 1.0841042678022872 1.1431195182188563 0.8838780558037577 0.47039581341993114
20 200 1.2048137261778764 0 0 1.1094508360928241 1.3716976037007123 1.29466246792635 1.6907833849301976 1.4446359246654321 1.1060313306353564 1.1879725712262101 0.871667997335394 0.4525323242520785
21 210 1.2367214017127457 0 0 1.1186279219952031 1.4060550932375502 1.3156170882427234 1.7326058661131196 1.4324426753500732 1.159671246697902 1.2209349104205038 0.8690956559405333 0.45930371123564007
22 220 1.1597033509668953 0 0 1.059488146810758 1.3231966435898173 1.2458416015449596 1.615138547576087 1.3129116696023504 1.0940847685883193 1.1339687332684536 0.8024832358269102 0.40888752618458585
23 230 1.088876815523747 0 0 0.9975404547179783 1.2215244938194958 1.1529349105093623 1.5201139308521088 1.2256194711284614 1.0370539450025584 1.0680840278110988 0.7550496185094474 0.35082226499793595
24 240 1.0007640110085398 0 0 0.9159238101119715 1.1123400245194646 0.9977366630296969 1.3662745272643118 1.1296898369242034 0.9461015625672895 0.9804084317029798 0.6860556013408778 0.30989690348190824
25 250 0.9961567137616386 0 0 1.0028356053550251 1.1100514789981235 1.0295340308568366 1.3655803739804508 1.148684228659381 0.9361268072403567 0.9585505833839253 0.6401536008646967 0.30256559326438776
26 260 0.9142916672555248 0 0 0.890629764091449 1.0105757409231144 0.9383916893603342 1.2625220213786188 1.0806530813572064 0.8471581252433814 0.8394615319301681 0.566708717217149 0.27049343534883186
27 270 0.8500495910534569 0 0 0.8288551837489367 0.9291256132851112 0.8734590895331256 1.1888086522899588 1.0032136821475317 0.785472650545084 0.7681139591052207 0.5255218887077836 0.23314911760394633
28 280 0.8784550479059898 0 0 0.8677811686951792 1.016587688866512 0.9257410437480244 1.213356043418571 1.0828434377297869 0.7900183058869429 0.7781495304403151 0.5146601438216323 0.23718775323908395
29 290 0.8657437067529092 0 0 0.8445174660714448 0.9987517666423913 0.9401730110966129 1.2172743988361368 1.0492217380559974 0.7909947987015628 0.7521649432440702 0.4917950604717833 0.2191950986815443
30 300 0.7960024180177829 0 0 0.7798620145173223 0.8788012411359184 0.8606459413958902 1.125900031811651 0.9714586105404837 0.7290128204102239 0.7027869584662721 0.4405787249505287 0.19550331798634024
31 310 0.7490883222956111 0 0 0.7086116321121211 0.8307309757520388 0.8160545692000285 1.0693550067259783 0.931516723194819 0.6938996560118688 0.6627448829341702 0.39036229692340435 0.17936284265564365
32 320 0.7180503595121464 0 0 0.6696415271691962 0.7978923362261799 0.7886650584543506 1.0332944033559572 0.8915640206885935 0.6725843419330234 0.633615917161676 0.3680687081076115 0.1668556294292522
33 330 0.6638536691307572 0 0 0.6298680322085575 0.7340685203899043 0.707601156205333 0.9557180185846395 0.8129042464723851 0.6150688714397481 0.5704505698653876 0.3302572259463282 0.15214948885854596
34 340 0.6216954956951879 0 0 0.5870814472450716 0.6821808912644177 0.6562614813528568 0.9077072253829466 0.7530576693439045 0.5730396496328531 0.522279345156151 0.3065027480433958 0.1368544896310538
35 350 0.630451162942462 0 0 0.6033956478967527 0.7073358376265341 0.6505537802064629 0.9233358677431303 0.8107410963501958 0.5585616328745252 0.5216703122543209 0.30021617490111474 0.135978240664526
36 360 0.6274154433971608 0 0 0.5936275209328572 0.723121399443484 0.6544262970833122 0.9105153392480033 0.8314906128727564 0.5614468908027637 0.5005096668600593 0.2987213678737406 0.1287965198334147
37 370 0.6361957743432277 0 0 0.6014539100675869 0.7622797107920042 0.6477672108239487 0.9353429186652599 0.8449634794774917 0.5606759886143543 0.5087973345618532 0.30239116923214554 0.12407520297364481
38 380 0.6522752006999185 0 0 0.6250631727577542 0.792175485701544 0.6546678838659288 1.034906257580299 0.8787530057790267 0.577693926307772 0.5086383269796408 0.30720784318846517 0.12015284443908023
39 390 0.6233497776963697 0 0 0.5909683500864966 0.742307174199738 0.6137448065127876 0.9809726078239046 0.8241028091371236 0.5605345454356049 0.48852203964178775 0.27976286610101886 0.11045712149156683
40 400 0.5463333316284624 0 0 0.5213708355632536 0.6452057056150251 0.5348403787373851 0.8344907157839954 0.7116247112915121 0.48649383955024517 0.41625004545736005 0.23936683319465946 0.09379642866680706
41 410 0.48793679990551614 0 0 0.4616912125601439 0.5430097116216082 0.47698697869691764 0.7493748883817599 0.6337039162206891 0.43072076883797256 0.36821374745846214 0.21268614381105666 0.08260733334233265
42 420 0.42036490105020596 0 0 0.3955286159579805 0.4667316278846951 0.4106387272629947 0.6399044175614496 0.5466736985730738 0.3655035028874312 0.3165300050810362 0.16962639662191523 0.06910202381231419
43 430 0.3816517887470368 0 0 0.35983067852165773 0.4198040826829368 0.3645425861563659 0.5873699599604043 0.4955413526205016 0.3351150635583468 0.2844922668512663 0.15279391656799396 0.059699918896858266
44 440 0.33504283405912577 0 0 0.3196765836977961 0.37000985312649803 0.31972135552981856 0.5101576837003214 0.43798853884758876 0.29342615378088255 0.2505026723547689 0.12951393640470307 0.04981827434700098
45 450 0.31692704745617123 0 0 0.3064787256805758 0.345031724198347 0.30041552055994075 0.46681868607264654 0.4129469593119841 0.27804674425399273 0.23786962616593052 0.12144184081389878 0.04377781505547024
46 460 0.3036507065911644 0 0 0.2979289315960048 0.32845936528719966 0.2889934579211938 0.44326701386396933 0.3940454611004202 0.26593400362354563 0.22581805041539135 0.1109021069738725 0.04152786160819226
